0   -nan
0.025   -nan
0.05   -nan
0.075   -nan
0.1   -nan
0.125   -nan
0.15   -nan
0.175   -nan
0.2   -nan
0.225   -nan
0.25   -nan
0.275   -nan
0.3   -nan
0.325   -nan
0.35   -nan
0.375   -nan
0.4   -nan
0.425   -nan
0.45   -nan
0.475   -nan
0.5   -nan
0.525   -nan
0.55   -nan
0.575   -nan
0.6   -nan
0.625   -nan
0.65   -nan
0.675   -nan
0.7   -nan
0.725   -nan
0.75   -nan
0.775   -nan
0.8   -nan
0.825   -nan
0.85   -nan
0.875   -nan
0.9   -nan
0.925   -nan
0.95   -nan
0.975   -nan
1   -nan
1.025   -nan
1.05   -nan
1.075   -nan
1.1   -nan
1.125   -nan
1.15   -nan
1.175   -nan
1.2   -nan
1.225   -nan
1.25   -nan
1.275   -nan
1.3   -nan
1.325   -nan
1.35   -nan
1.375   -nan
1.4   -nan
1.425   -nan
1.45   -nan
1.475   -nan
1.5   -nan
1.525   -nan
1.55   -nan
1.575   -nan
1.6   -nan
1.625   -nan
1.65   -nan
1.675   -nan
1.7   -nan
1.725   -nan
1.75   -nan
1.775   -nan
1.8   -nan
1.825   -nan
1.85   -nan
1.875   -nan
1.9   -nan
1.925   -nan
1.95   -nan
1.975   -nan
2   -nan
2.025   -nan
2.05   -nan
2.075   -nan
2.1   -nan
2.125   -nan
2.15   -nan
2.175   -nan
2.2   -nan
2.225   -nan
2.25   -nan
2.275   -nan
2.3   -nan
2.325   -nan
2.35   -nan
2.375   -nan
2.4   -nan
2.425   -nan
2.45   -nan
2.475   -nan
2.5   -nan
2.525   -nan
2.55   -nan
2.575   -nan
2.6   -nan
2.625   -nan
2.65   -nan
2.675   -nan
2.7   -nan
2.725   -nan
2.75   -nan
2.775   -nan
2.8   -nan
2.825   -nan
2.85   -nan
2.875   -nan
2.9   -nan
2.925   -nan
2.95   -nan
2.975   -nan
3   -nan
3.025   -nan
3.05   -nan
3.075   -nan
3.1   -nan
3.125   -nan
3.15   -nan
3.175   -nan
3.2   -nan
3.225   -nan
3.25   -nan
3.275   -nan
3.3   -nan
3.325   -nan
3.35   -nan
3.375   -nan
3.4   -nan
3.425   -nan
3.45   -nan
3.475   -nan
3.5   -nan
3.525   -nan
3.55   -nan
3.575   -nan
3.6   -nan
3.625   -nan
3.65   -nan
3.675   -nan
3.7   -nan
3.725   -nan
3.75   -nan
3.775   -nan
3.8   -nan
3.825   -nan
3.85   -nan
3.875   -nan
3.9   -nan
3.925   -nan
3.95   -nan
3.975   -nan
4   -nan
4.025   -nan
4.05   -nan
4.075   -nan
4.1   -nan
4.125   -nan
4.15   -nan
4.175   -nan
4.2   -nan
4.225   -nan
4.25   -nan
4.275   -nan
4.3   -nan
4.325   -nan
4.35   -nan
4.375   -nan
4.4   -nan
4.425   -nan
4.45   -nan
4.475   -nan
4.5   -nan
4.525   -nan
4.55   -nan
4.575   -nan
4.6   -nan
4.625   -nan
4.65   -nan
4.675   -nan
4.7   -nan
4.725   -nan
4.75   -nan
4.775   -nan
4.8   -nan
4.825   -nan
4.85   -nan
4.875   -nan
4.9   -nan
4.925   -nan
4.95   -nan
4.975   -nan
5   -nan
5.025   -nan
5.05   -nan
5.075   -nan
5.1   -nan
5.125   -nan
5.15   -nan
5.175   -nan
5.2   -nan
5.225   -nan
5.25   -nan
5.275   -nan
5.3   -nan
5.325   -nan
5.35   -nan
5.375   -nan
5.4   -nan
5.425   -nan
5.45   -nan
5.475   -nan
5.5   -nan
5.525   -nan
5.55   -nan
5.575   -nan
5.6   -nan
5.625   -nan
5.65   -nan
5.675   -nan
5.7   -nan
5.725   -nan
5.75   -nan
5.775   -nan
5.8   -nan
5.825   -nan
5.85   -nan
5.875   -nan
5.9   -nan
5.925   -nan
5.95   -nan
5.975   -nan
6   -nan
6.025   -nan
6.05   -nan
6.075   -nan
6.1   -nan
6.125   -nan
6.15   -nan
6.175   -nan
6.2   -nan
6.225   -nan
6.25   -nan
6.275   -nan
6.3   -nan
6.325   -nan
6.35   -nan
6.375   -nan
6.4   -nan
6.425   -nan
6.45   -nan
6.475   -nan
6.5   -nan
6.525   -nan
6.55   -nan
6.575   -nan
6.6   -nan
6.625   -nan
6.65   -nan
6.675   -nan
6.7   -nan
6.725   -nan
6.75   -nan
6.775   -nan
6.8   -nan
6.825   -nan
6.85   -nan
6.875   -nan
6.9   -nan
6.925   -nan
6.95   -nan
6.975   -nan
7   -nan
7.025   -nan
7.05   -nan
7.075   -nan
7.1   -nan
7.125   -nan
7.15   -nan
7.175   -nan
7.2   -nan
7.225   -nan
7.25   -nan
7.275   -nan
7.3   -nan
7.325   -nan
7.35   -nan
7.375   -nan
7.4   -nan
7.425   -nan
7.45   -nan
7.475   -nan
7.5   -nan
7.525   -nan
7.55   -nan
7.575   -nan
7.6   -nan
7.625   -nan
7.65   -nan
7.675   -nan
7.7   -nan
7.725   -nan
7.75   -nan
7.775   -nan
7.8   -nan
7.825   -nan
7.85   -nan
7.875   -nan
7.9   -nan
7.925   -nan
7.95   -nan
7.975   -nan
8   -nan
8.025   -nan
8.05   -nan
8.075   -nan
8.1   -nan
8.125   -nan
8.15   -nan
8.175   -nan
8.2   -nan
8.225   -nan
